Race Session (date),Piece,KM,Rigging,Personnel,Result
2/12/2012,3,1,c/p/s/p/s/p/s/p/s,"GENNARO/Coppola/Walsh/Bertoldo/James,R./Guregian/Banks/Monaghan",02:44.0
2/12/2012,3,1,c/p/s/p/s/p/s/p/s,"STAFFORD/Peszek/Blomquist/Kasprzyk/Inman/Otto/Struzyna/James,G.",02:43.0
2/14/2012,1,1,c/p/s/p/s,Blomquist/Otto/Gennaro/Monaghan,03:06.8
2/14/2012,1,1,c/p/s/p/s,"Walsh/Coppola/James,R./Guregian",03:10.0
2/14/2012,2,1,c/p/s/p/s,Blomquist/Otto/Gennaro/Monaghan,03:11.7
2/14/2012,2,1,c/p/s/p/s,"Walsh/Coppola/James,R./Guregian",03:14.0
2/14/2012,3,1,c/p/s/p/s,Blomquist/COPPOLA/Gennaro/Monaghan,03:08.4
2/14/2012,3,1,c/p/s/p/s,"Walsh/OTTO/James,R./Guregian",03:07.0
2/14/2012,4,1,c/p/s/p/s,Blomquist/COPPOLA/Gennaro/Monaghan,03:15.0
2/14/2012,4,1,c/p/s/p/s,"Walsh/OTTO/James,R./Guregian",03:14.0
2/14/2012,5,1,c/p/s/p/s,Blomquist/COPPOLA/Gennaro/Monaghan,03:08.5
2/14/2012,5,1,c/p/s/p/s,"Walsh/OTTO/James,R./Guregian",03:06.5
2/16/2012,1,3.9,c/p/s/p/s/p/s/p/s,"Stafford/Peszek/Inman/Kasprzyk/Lanzone/Newlin/Banks/James,G.",11:26.0
2/16/2012,1,3.9,c/p/s/p/s/p/s/p/s,"Walsh/Otto/James,R./Bertoldo/Struzyna/Guregian/Gennaro/Monaghan",11:35.0
2/16/2012,2,3.9,c/p/s/p/s/p/s/p/s,"Stafford/Peszek/Inman/Kasprzyk/Lanzone/Newlin/Banks/James,G.",12:04.2
2/16/2012,2,3.9,c/p/s/p/s/p/s/p/s,"Walsh/Otto/James,R./COPPOLA/BLOMQUIST/Guregian/Gennaro/Monaghan",12:24.3
2/16/2012,3,3.9,c/p/s/p/s/p/s/p/s,"Stafford/Peszek/Inman/Kasprzyk/Lanzone/Newlin/Banks/James,G.",11:34.0
2/16/2012,3,3.9,c/p/s/p/s/p/s/p/s,"Walsh/Otto/James,R./Bertoldo/Struzyna/Guregian/Gennaro/Monaghan",11:41.0
2/18/2012,1,1.5,c/p/s/p/s/p/s/p/s,Stafford/Peszek/Inman/Kasprzyk/Walsh/Newlin/Banks/Guregian,04:09.0
2/18/2012,1,1.5,c/p/s/p/s,"Blomquist/Coppola/James,R./Monaghan",04:38.7
